,RP Score
ABCA7,2.8515839633426463
ABCA10,2.650216377038262
ABHD17C,2.4635054691456615
AAAS,2.3588521504315194
A1BG,1.9349505790973824
A2M,1.9223867818812093
ABCD1,1.6669822670195513
ABCC9,1.6482348836066285
ABCG4,1.619805692713428
ABCD4,1.5015496116730587
ABHD14A,1.4750089802245614
AADAC,1.4606779010624713
ABCF3,1.455805967411105
ABCF2,1.4336464076355078
A1CF,1.424346707351197
ABCG1,1.367784353007211
A4GALT,1.1653417208403967
AARSD1,1.1003114812177126
ABCD3,1.0143169392042568
AATF,0.9718147078989465
ABCA3,0.9693081327485629
ABHD2,0.9551112277232453
ABCG5,0.9322792262292507
AAK1,0.9083068469471504
ABCC1,0.902080038900461
ABCB8,0.8519427713095898
AACS,0.824004864332707
AARS,0.7410561565609595
AARS2,0.6997376881938439
ABHD12,0.6889878518672512
ABCG8,0.6639852498206356
ABCF1,0.6432358648591424
ABCB9,0.6388749504372611
ABCA9,0.5644523238310097
ABCB11,0.557343644879974
ABHD14B,0.5537716608347998
AADAT,0.5308613026013818
AAGAB,0.4629108954634518
ABHD15,0.4626903294136844
ABCB10,0.4572868018754328
ABCC4,0.4425966820447934
ABCA1,0.42096456433938567
ABCA8,0.3137927247139164
ABHD16A,0.2816678496533719
ABCC10,0.26605639103418466
ABCC5,0.23564907847206626
ABHD11,0.18100744895937684
ABAT,0.1535434855454263
ABCA6,0.12023461419950658
AAR2,0.08913639040546197
